Timestamp	datatype	data
697154451	orientation	2.7113125, -0.52799255, -1.3722525
697154463	accel	13.469198, 4.921139, 1.5275182
697154471	orientation	2.7183251, -0.54735404, -1.3742322
697154483	accel	12.916158, 4.7835517, 1.7344973
697154491	orientation	2.7251766, -0.5696962, -1.3784335
697154503	accel	12.1046915, 4.8182473, 2.4538395
697154511	orientation	2.7321684, -0.59426403, -1.3877289
697154524	accel	11.627025, 4.965406, 2.754438
697154531	orientation	2.7394872, -0.6212968, -1.4006453
697154544	accel	11.653345, 5.0108695, 2.4562325
697154551	orientation	2.7469966, -0.6515264, -1.4146343
697154564	accel	11.276176, 4.855336, 2.0937197
697154571	orientation	2.7552197, -0.68591046, -1.4271857
697154584	accel	10.08156, 4.6731825, 2.231307
697154592	orientation	2.7651267, -0.7235119, -1.4372886
697154604	accel	9.422038, 4.5726843, 1.9115661
697154612	orientation	2.7727675, -0.7625535, -1.449641
697154624	accel	9.050852, 4.6205406, 1.7895322
697154632	orientation	2.7788553, -0.8027369, -1.4655317
697154644	accel	8.392527, 4.7581277, 1.9848464
697154652	orientation	2.786474, -0.8439047, -1.482712
697154665	accel	8.045268, 4.8828535, 1.6866409
697154672	orientation	2.7947605, -0.8863939, -1.4993154
697154685	accel	7.500602, 4.9462633, 1.2759727
697154692	orientation	2.8033798, -0.9299846, -1.514343
697154705	accel	7.1129646, 5.022834, 1.0115658
697154713	orientation	2.8109791, -0.97377557, -1.5301689
697154725	accel	6.942775, 5.183153, 1.1359925
697154733	orientation	2.8162096, -1.0170447, -1.5512631
697154745	accel	6.641279, 5.536393, 1.346561
697154753	orientation	2.8242834, -1.0612469, -1.574431
697154765	accel	6.201897, 5.654838, 1.4461622
697154773	orientation	2.8362975, -1.1069977, -1.5955878
697154786	accel	6.3179493, 5.47418, 1.1048858
697154793	orientation	2.8479757, -1.1546375, -1.61501
697154806	accel	5.7026944, 5.3593245, 1.2891332
697154813	orientation	2.8588996, -1.2041776, -1.63486
697154826	accel	4.6205406, 5.47418, 2.1284158
697154833	orientation	2.8697817, -1.2555878, -1.6572388
697154846	accel	3.6017964, 5.519644, 2.091327
697154854	orientation	2.8746085, -1.3082678, -1.6867964
697154866	accel	3.0475588, 5.35095, 1.3022938
697154874	orientation	2.869576, -1.361657, -1.725013
697154886	accel	2.585744, 5.2334023, 1.2436695
697154894	orientation	2.8497763, -1.4155279, -1.7783622
697154906	accel	1.5550356, 5.0922256, 1.5299109
697154914	orientation	2.7937713, -1.4701964, -1.8691336
697154927	accel	0.09451649, 5.034798, 1.218545
697154934	orientation	2.5709536, -1.5234778, -2.126232
697154947	accel	-1.049851, 4.973781, 0.86081797
697154954	orientation	0.9536404, -1.5488232, 2.5067167
697154967	accel	-1.2484552, 5.226224, 1.428216
697154974	orientation	0.16924137, -1.5081375, 1.6868927
697154987	accel	-0.91465646, 5.4957156, 2.0231316
697154995	orientation	0.033019945, -1.4608277, 1.511459
697155007	accel	-1.3214363, 5.622535, 2.6431718
697155015	orientation	-0.012080361, -1.4111962, 1.4277622
697155027	accel	-2.539084, 5.5076795, 2.9135606
697155035	orientation	-0.023536824, -1.361226, 1.3804756
697155047	accel	-3.2285159, 5.35095, 2.015953
697155055	orientation	-0.028233014, -1.3134161, 1.3411651
697155068	accel	-3.531208, 5.4370914, 2.2612174
697155075	orientation	-0.03348128, -1.2679209, 1.298371
697155088	accel	-3.4307094, 5.689534, 3.313461
697155095	orientation	-0.032989074, -1.221807, 1.2587641
697155108	accel	-4.615755, 5.7577295, 4.1237307
697155116	orientation	-0.02393894, -1.1733583, 1.2299263
697155128	accel	-7.347461, 5.669195, 4.486542
697155136	orientation	-0.01130798, -1.1248891, 1.2087151
697155148	accel	-9.779765, 5.805586, 4.4315076
697155156	orientation	-1.7634757E-4, -1.0811425, 1.188708
697155168	accel	-10.907383, 6.163612, 4.304688
697155176	orientation	0.008407195, -1.0444926, 1.1652468
697155189	accel	-10.579566, 6.6939216, 4.770391
697155196	orientation	0.016085323, -1.0137259, 1.140574
697155209	accel	-10.23829, 7.2409806, 5.1125646
697155216	orientation	0.025191814, -0.98655564, 1.1205584
697155229	accel	-10.288539, 7.5580297, 4.945067
697155236	orientation	0.035813026, -0.9613686, 1.1074258
697155249	accel	-10.971092, 7.70788, 4.9845486
697155257	orientation	0.045513954, -0.9382683, 1.0988181
697155269	accel	-12.247065, 7.7090764, 5.2812586
697155277	orientation	0.055745676, -0.9182721, 1.0939734
697155289	accel	-13.708481, 7.7677007, 5.101797
697155297	orientation	0.06578806, -0.90485054, 1.0917094
697155309	accel	-13.396217, 7.8406816, 4.369294
697155317	orientation	0.07314123, -0.89907026, 1.0892751
697155330	accel	-12.096316, 7.9770727, 4.308277
697155337	orientation	0.07777603, -0.899144, 1.0874044
697155350	accel	-11.326426, 8.005786, 4.1727834
697155357	orientation	0.08212611, -0.9032847, 1.0889553
697155370	accel	-10.763814, 7.919645, 3.275176
697155377	orientation	0.085383646, -0.91087854, 1.0925977
697155390	accel	-10.227522, 7.899306, 3.0116663
697155398	orientation	0.08664692, -0.92059517, 1.0966882
697155410	accel	-10.540085, 7.966305, 3.4953158
697155418	orientation	0.08720385, -0.93220174, 1.1034205
697155430	accel	-11.668899, 7.72463, 3.5407794
697155438	orientation	0.08611178, -0.94795275, 1.1118877
697155450	accel	-11.891431, 7.3977103, 3.1280174
697155458	orientation	0.08082462, -0.9706467, 1.1175187
697155471	accel	-10.577173, 7.245766, 3.0487552
697155478	orientation	0.07032646, -1.0000482, 1.1181973
697155491	accel	-8.756535, 7.3881392, 3.19382
697155498	orientation	0.058148105, -1.0331993, 1.1180005
697155511	accel	-7.1428747, 7.72463, 2.8716862
697155519	orientation	0.043740533, -1.0672578, 1.1189148
697155531	accel	-6.067899, 7.9555373, 2.9410782
697155539	orientation	0.023090567, -1.1020135, 1.1179947
